Name,Website,http://kspress.com/,wikipedia,phone,fax,Address,editor,twitter,facebook,contact page,user forum
Gardner News,,http://kspress.com/viewRecord.php?recid=44,,,,,,,,,
Girard Press,http://www.morningsun.net/x1445722346/Girard-Press-to-close-March-25,,,,,"Girard, Kansas",,,,,
Glasco Sun/Delphos Republican,,http://kspress.com/viewRecord.php?recid=1532,,,,,,,,,
Goodland Star-News,,http://kspress.com/viewRecord.php?recid=2727,,,,,,,,,
Gove County Advocate,,http://kspress.com/viewRecord.php?recid=1537,,,,,,,,,
Grass & Grain,,http://kspress.com/viewRecord.php?recid=3437,,,,,,,,,
Great Bend Tribune,http://gbtribune.com,http://kspress.com/viewRecord.php?recid=26,,,,"Great Bend, Kansas",,,,,
Greeley County Republican,,http://kspress.com/viewRecord.php?recid=1539,,,,,,,,,
Gyp Hill Premiere,,http://kspress.com/viewRecord.php?recid=1536,,,,,,,,,
Hanover News,,http://kspress.com/viewRecord.php?recid=269,,,,,,,,,
Harper Advocate,,http://kspress.com/viewRecord.php?recid=270,,,,,,,,,
Harvey County Independent,,http://kspress.com/viewRecord.php?recid=268,,,,,,,,,
Haskell County Monitor-Chief,,http://kspress.com/viewRecord.php?recid=271,,,,,,,,,
Hays Daily News,http://hdnews.net,http://kspress.com/viewRecord.php?recid=433,https://en.wikipedia.org/wiki/Hays_Daily_News,,,"507 N. Main
Hays, Kansas 67601-0857
United States",,,,,
Haysville Sun-Times,,http://kspress.com/viewRecord.php?recid=1613,,,,,,,,,
Herington Times,,http://kspress.com/viewRecord.php?recid=276,,,,,,,,,
Hesston Record,,http://kspress.com/viewRecord.php?recid=277,,,,,,,,,
Hiawatha World,http://hiawathaworldonline.com,http://kspress.com/viewRecord.php?recid=2736,,,,"Hiawatha, Kansas",,,,,
High Plains Journal,http://hpj.com,http://kspress.com/viewRecord.php?recid=1024,,,,"Dodge City, Kansas",,,,,
Highlighter - Wichita Heights High School,,http://kspress.com/viewRecord.php?recid=3459,,,,,,,,,
Hill City Times,,http://kspress.com/viewRecord.php?recid=280,,,,,,,,,
Hillsboro Free Press,http://www.hillsborofreepress.com/,http://kspress.com/viewRecord.php?recid=1772,https://en.wikipedia.org/wiki/Hillsboro_Free_Press,,,"Hillsboro, Kansas",,,,,
Hillsboro_Star-Journal,http://starj.com/,http://kspress.com/viewRecord.php?recid=1763,https://en.wikipedia.org/wiki/Hillsboro_Star-Journal,,,"117 South 3rd Street
Marion, Kansas 66861
United States",,,,,
Hoisington Dispatch,,http://kspress.com/viewRecord.php?recid=282,,,,,,,,,
Holton Recorder ,http://holtonrecorder.com,http://kspress.com/viewRecord.php?recid=283,,,,"Holton, Kansas",,,,,
Hometown Girard,,http://kspress.com/viewRecord.php?recid=3518,,,,,,,,,
Horizon,,http://kspress.com/viewRecord.php?recid=1619,,,,,,,,,
Horton Headlight,,http://kspress.com/viewRecord.php?recid=284,,,,,,,,,
Hoxie Sentinel,,http://kspress.com/viewRecord.php?recid=286,,,,,,,,,
Hugoton Hermes,,http://kspress.com/viewRecord.php?recid=1167,,,,,,,,,
Humboldt Union,,http://kspress.com/viewRecord.php?recid=3194,,,,,,,,,
Hutchinson News,http://hutchnews.com,http://kspress.com/viewRecord.php?recid=1726,,,,"Hutchinson, Kansas",,,,,
Hype Weekly,http://thehypeweekly.com,,,,,"Manhattan, Kansas",,,,,
Independence Daily Reporter,,http://kspress.com/viewRecord.php?recid=290,,,,"Independence, Kansas",,,,,
Independence News,,http://kspress.com/viewRecord.php?recid=1831,,,,,,,,,
Ink,,http://kspress.com/viewRecord.php?recid=3320,,,,,,,,,
Interrobang,,http://kspress.com/viewRecord.php?recid=1339,,,,,,,,,
Iola Register,http://iolaregister.com,http://kspress.com/viewRecord.php?recid=292,,,,"Iola, Kansas",,,,,
Jackson County Journal,http://jacksoncountyjournal.com,,,,,"Holton, Kansas",,,,,
Jetmore Republican,,http://kspress.com/viewRecord.php?recid=293,,,,,,,,,
Jewell County Record,,http://kspress.com/viewRecord.php?recid=294,,,,,,,,,
Johnson Pioneer,,http://kspress.com/viewRecord.php?recid=297,,,,,,,,,
Junction City Daily Union,,http://kspress.com/viewRecord.php?recid=299,,,,,,,,,
Junction City Daily Union/Wamego Smoke Signal/Abilene Reflector Chronicle,,http://kspress.com/viewRecord.php?recid=3522,,,,,,,,,
Junction_City_Post,http://www.jcpost.com/,,https://en.wikipedia.org/wiki/Junction_City_Post,,,,,,,,
Kansas Chief,,http://kspress.com/viewRecord.php?recid=413,,,,,,,,,
Kansas City Business Journal,,http://kspress.com/viewRecord.php?recid=2722,,,,,,,,,
Kansas City Jewish Chronicle,http://www.kcjc.com/,http://kspress.com/viewRecord.php?recid=296,,,,"The Kansas City Jewish Chronicle
4210 Shawnee Mission Parkway - Suite 314A
Fairway, KS 66205",Barbara Bayer Editor bbayer@metromediapublishers.com (913) 951-8425,,,,
Kansas City Kansan,http://www.kckansan.com/,,https://en.wikipedia.org/wiki/Kansas_City_Kansan,,,"Kansas City,KS","Nick Sloan | nick@kansascitykansan.com 
Executive Publisher
(913)-461-5630",,https://www.facebook.com/KansasCityKansan,,
Kansas City Nursing News,,http://kspress.com/viewRecord.php?recid=1355,,,,,,,,,
Kansas City Record,,http://kspress.com/viewRecord.php?recid=401,,,,,,,,,
Kansas City Star,http://www.kansascity.com/,http://kspress.com/viewRecord.php?recid=3016,https://en.wikipedia.org/wiki/The_Kansas_City_Star,,,"The Star, 1729 Grand Blvd., Kansas City, MO. 64108.","Mike Fannin, Editor and Vice President
816-234-4345

Read more here: http://www.kansascity.com/contact_us/#newsroom#storylink=cpy",,,http://www.kansascity.com/opinion/letters/,
Kansas Senior Times/McGrath Publishing Co.,,http://kspress.com/viewRecord.php?recid=1693,,,,,,,,,
Kansas State Collegian,http://www.kstatecollegian.com/,http://kspress.com/viewRecord.php?recid=538,https://en.wikipedia.org/wiki/Kansas_State_Collegian,,,Kansas State University,,,,,
Keynotes News for Older Kansans,,http://kspress.com/viewRecord.php?recid=1351,,,,,,,,,
Kingman Leader-Courier,,http://kspress.com/viewRecord.php?recid=443,,,,,,,,,
Kiowa County Signal,http://kiowacountysignal.com,http://kspress.com/viewRecord.php?recid=304,,,,"Greensburg, Kansas",,,,,
Kiowa News,http://kiowanews.com,http://kspress.com/viewRecord.php?recid=305,,,,"Kiowa, Kansas",,,,,
La Estrella,,http://kspress.com/viewRecord.php?recid=1578,,,,,,,,,
La Semana,,http://kspress.com/viewRecord.php?recid=1860,,,,,,,,,
La Voz,,http://kspress.com/viewRecord.php?recid=1861,,,,,,,,,
Labette Avenue,,http://kspress.com/viewRecord.php?recid=357,,,,,,,,,
Lakin Independent,,http://kspress.com/viewRecord.php?recid=306,,,,,,,,,
Lansing Chronicle Times ,http://lansingchronicletimes.com,,,,,"Lansing, Kansas",,,,,
Lansing Times,,http://kspress.com/viewRecord.php?recid=2993,,,,,,,,,
Lantern,,http://kspress.com/viewRecord.php?recid=1342,,,,,,,,,
Larned Tiller & Toiler,,http://kspress.com/viewRecord.php?recid=18,,,,,,,,,
Lawrence Journal-World,http://www2.ljworld.com/,http://kspress.com/viewRecord.php?recid=19,https://en.wikipedia.org/wiki/Lawrence_Journal-World,(785) 843-1000,(785) 843-4512,"645 New Hampshire
P.O Box 888
Lawrence, Kansas 66044",letters@ljworld.com.,https://twitter.com/ljworld,https://www.facebook.com/LJWorld,,
Leader & Times,,http://kspress.com/viewRecord.php?recid=3298,,,,,,,,,
Leavenworth Times,http://www.leavenworthtimes.com/,http://kspress.com/viewRecord.php?recid=311,https://en.wikipedia.org/wiki/Leavenworth_Times,Phone:(913) 682-0305,,"422 Seneca St, Leavenworth, KS 66048",General Manager/Executive EditorDale Brendeldbrendel@leavenworthtimes.com,https://twitter.com/LVTimesNews,https://www.facebook.com/the.leavenworth.times,,
Ledger (Moundridge),,http://kspress.com/viewRecord.php?recid=400,,,,,,,,,
Legal Record,,http://kspress.com/viewRecord.php?recid=1437,,,,,,,,,
Leoti Standard,,http://kspress.com/viewRecord.php?recid=1032,,,,,,,,,
Liberal Light,,http://kspress.com/viewRecord.php?recid=1258,,,,,,,,,
Lincoln Sentinel-Republican,,http://kspress.com/viewRecord.php?recid=315,,,,,,,,,
Lindsborg News-Record,,http://kspress.com/viewRecord.php?recid=316,,,,,,,,,
Linn County News,,http://kspress.com/viewRecord.php?recid=317,,,,,,,,,
Linn-Palmer Record,,http://kspress.com/viewRecord.php?recid=318,,,,,,,,,
Logan Republican,,http://kspress.com/viewRecord.php?recid=319,,,,,,,,,
Louisburg Herald,http://www.herald-online.com/,http://kspress.com/viewRecord.php?recid=383,,Phone:(913) 837-4321,Fax: (913) 837-4322,"15 S Broadway St, Louisburg, KS 66053",herald@miconews.com,,,https://herald-online-dot-com.bloxcms-ny1.com/site/forms/online_services/letter/,
Lucas-Sylvan News,,http://kspress.com/viewRecord.php?recid=321,,,,,,,,,
Lyons News,,http://kspress.com/viewRecord.php?recid=2729,,,,,,,,,
Madison News,,http://kspress.com/viewRecord.php?recid=324,,,,,,,,,
Manhattan Free Press,,http://kspress.com/viewRecord.php?recid=1626,,,,,,,,,
Manhattan Mercury,http://themercury.com/,http://kspress.com/viewRecord.php?recid=20,https://en.wikipedia.org/wiki/The_Manhattan_Mercury,,,"318 North 5th Street
Manhattan, KS, 66502
Phone: 785-776-2200
Fax: 785-776-8807",General 785-776-2300 news@themercury.com,,,,
Marion County Record,http://marionrecord.com,http://kspress.com/viewRecord.php?recid=326,https://en.wikipedia.org/wiki/Marion_County_Record,,,"Marion, Kansas",,,,,
Marquette Tribune,,http://kspress.com/viewRecord.php?recid=328,,,,,,,,,
Marysville Advocate,http://marysvilleonline.net,http://kspress.com/viewRecord.php?recid=3419,,,,"Marysville, Kansas",,,,,
McPherson Sentinel,http://www.mcphersonsentinel.com/,http://kspress.com/viewRecord.php?recid=1569,https://en.wikipedia.org/wiki/McPherson_Sentinel,,,"McPherson, Kansas",,,,,
Meade County News,,http://kspress.com/viewRecord.php?recid=331,,,,,,,,,
Merchant's Directory,,http://kspress.com/viewRecord.php?recid=332,,,,,,,,,
"Miami County Republic - Paola,KS",http://www.republic-online.com/,http://kspress.com/viewRecord.php?recid=320,,Office: (913) 294-2311,Fax: (913) 294-5318,"Miami County Republic

121 S. Pearl St.

Paola, KS 66071",republic@miconews.com,,https://www.facebook.com/micorepublic,https://republic-online-dot-com.bloxcms-ny1.com/site/forms/online_services/letter/,
Miltonvale Record,,http://kspress.com/viewRecord.php?recid=334,,,,,,,,,
Minneapolis Messenger,,http://kspress.com/viewRecord.php?recid=335,,,,,,,,,
Mirror (Tonganoxie),,http://kspress.com/viewRecord.php?recid=403,,,,,,,,,
Mission Valley Herald,,http://kspress.com/viewRecord.php?recid=2901,,,,,,,,,
Monitor-Journal (Little River),,http://kspress.com/viewRecord.php?recid=371,,,,,,,,,
Montezuma Press,,http://kspress.com/viewRecord.php?recid=337,,,,,,,,,
Montgomery County Chronicle,,http://kspress.com/viewRecord.php?recid=3278,,,,,,,,,
Morning Sun,http://www.morningsun.net/,,https://en.wikipedia.org/wiki/The_Morning_Sun_(Pittsburg),,,"Pittsburg, Kansas",,,,,
Mulberry Advance,,http://kspress.com/viewRecord.php?recid=339,,,,,,,,,
Mulvane News,,http://kspress.com/viewRecord.php?recid=340,,,,,,,,,
Neodesha Derrick,,http://kspress.com/viewRecord.php?recid=341,,,,,,,,,
Ness County News,,http://kspress.com/viewRecord.php?recid=342,,,,,,,,,
Newsleaf,,http://kspress.com/viewRecord.php?recid=3172,,,,,,,,,
Newton Kansan,http://www.thekansan.com/,http://kspress.com/viewRecord.php?recid=25,https://en.wikipedia.org/wiki/The_Newton_Kansan,,,"121 West Sixth Street,
Newton, Kansas 67114, United States",,,,,
Ngay Nay (World Today),,http://kspress.com/viewRecord.php?recid=1729,,,,,,,,,
Ninnescah Valley News,,http://kspress.com/viewRecord.php?recid=344,,,,,,,,,
Norton Telegram,,http://kspress.com/viewRecord.php?recid=345,,,,,,,,,
Norwich News,,http://kspress.com/viewRecord.php?recid=346,,,,,,,,,
Oakley Graphic,,http://kspress.com/viewRecord.php?recid=347,,,,,,,,,
Oberlin Herald,,http://kspress.com/viewRecord.php?recid=348,,,,,,,,,
"Olathe Daily News - Olathe,KS",http://www.theolathenews.com/,,https://en.wikipedia.org/wiki/The_Olathe_News,(913) 764-2211,,"The Olathe News
514 South Kansas Ave., Olathe, KS 66061","Editor
Richard Espinoza respinoza@theolathenews.com",,,,
Onaga Herald,,http://kspress.com/viewRecord.php?recid=350,,,,,,,,,
Osage County Herald-Chronicle,,http://kspress.com/viewRecord.php?recid=2828,,,,,,,,,
"Osawatomie Graphic - Osawatomie,KS",http://www.graphic-online.com/,http://kspress.com/viewRecord.php?recid=353,,,,,"Publisher

Sandy Nelson

sandynelson@miconews.com

News Editor

Colleen Truelsen

colleen.truelsen@npgco.com",,https://www.facebook.com/OsawatomieGraphic,,
Osborne County Farmer,,http://kspress.com/viewRecord.php?recid=354,,,,,,,,,
Oskaloosa Independent,,http://kspress.com/viewRecord.php?recid=356,,,,,,,,,
"Ottawa Herald - Ottawa,KS",http://www.ottawaherald.com/,http://kspress.com/viewRecord.php?recid=28,https://en.wikipedia.org/wiki/Ottawa_Herald,(785) 242-4700,,"104 S Cedar St, Ottawa, KS 66067","Send Letters to the editor to letters@ottawaherald.com. Please submit your full name, full address and phone number for verification purposes. Only your name and your town name will be published. - See more at: http://ottawaherald.com/submissions/#sthash.NOyY93c3.dpuf",https://twitter.com/oheraldnews,https://www.facebook.com/OttawaHerald,http://ottawaherald.com/submissions/,
Oxford Register,,http://kspress.com/viewRecord.php?recid=360,,,,,,,,,
Parsons Sun,,http://kspress.com/viewRecord.php?recid=362,,,,,,,,,
Peabody Gazette-Bulletin,http://peabodykansas.com/,http://kspress.com/viewRecord.php?recid=363,https://en.wikipedia.org/wiki/Peabody_Gazette-Bulletin,,,"Peabody, Kansas",,,,,
Pelican Press,,http://kspress.com/viewRecord.php?recid=1260,,,,,,,,,
Phillips County Review,,http://kspress.com/viewRecord.php?recid=365,,,,,,,,,
Pitch ,http://pitch.com/,,https://en.wikipedia.org/wiki/The_Pitch_(newspaper),,,,,,,,
Pittsburg Morning Sun,,http://kspress.com/viewRecord.php?recid=366,,,,,,,,,
Plains Guardian,,http://kspress.com/viewRecord.php?recid=3329,,,,,,,,,
Plainville Times,,http://kspress.com/viewRecord.php?recid=367,,,,,,,,,
Prairie Post,,http://kspress.com/viewRecord.php?recid=32,,,,,,,,,
Prairie Star,,http://kspress.com/viewRecord.php?recid=381,,,,,,,,,
Prairie Sun Weekly,,http://kspress.com/viewRecord.php?recid=3474,,,,,,,,,
Pratt American,,http://kspress.com/viewRecord.php?recid=3180,,,,,,,,,
Pratt Tribune,pratttribune.com,http://kspress.com/viewRecord.php?recid=368,https://en.wikipedia.org/wiki/The_Pratt_Tribune,,,"Pratt, Kansas",,,,,
Protection Press,,http://kspress.com/viewRecord.php?recid=369,,,,,,,,,
Rawlins County Square Deal,,http://kspress.com/viewRecord.php?recid=982,,,,,,,,,
Record (Turon),,http://kspress.com/viewRecord.php?recid=289,,,,,,,,,
Review,,http://kspress.com/viewRecord.php?recid=1620,,,,,,,,,
Riley Countian,,http://kspress.com/viewRecord.php?recid=1716,,,,,,,,,
Rose Hill Reporter,,http://kspress.com/viewRecord.php?recid=373,,,,,,,,,
Rural Messenger,,http://kspress.com/viewRecord.php?recid=3323,,,,,,,,,
Rush County News,,http://kspress.com/viewRecord.php?recid=374,,,,"La Crosse, Kansas",,,,,
Russell County News,,http://kspress.com/viewRecord.php?recid=375,,,,,,,,,
Sabetha Herald,,http://kspress.com/viewRecord.php?recid=1509,,,,,,,,,
Salina Journal,http://www.salina.com/,http://kspress.com/viewRecord.php?recid=912,https://en.wikipedia.org/wiki/The_Salina_Journal,,,"The Salina Journal
333 S. 4th St.
Salina, KS 67401
785-823-6363 or 800-827-6363
Fax: 785-823-3207 - See more at: http://www.salina.com/aboutus/#sthash.1NdoE6JK.dpuf","M. Olaf Frandsen
Editor & Publisher
785-823-6363
ofrandsen@salina.com
- See more at: http://www.salina.com/aboutus/#sthash.1NdoE6JK.dpuf",,,,
Scott County Record,,http://kspress.com/viewRecord.php?recid=1035,,,,,,,,,
